id,gender,age,mask,class,bbox,path
000001,female,45,incorrect_mask,10,71.16666666666666 76.5625 145.83333333333331 143.0625,data/train/images/000001_female_Asian_45/incorrect_mask.jpg
000001,female,45,mask1,4,61.833333333333336 86.625 147.0 160.125,data/train/images/000001_female_Asian_45/mask1.jpg
000001,female,45,mask2,4,70.0 83.125 144.66666666666669 145.6875,data/train/images/000001_female_Asian_45/mask2.jpg
000001,female,45,mask3,4,60.666666666666664 76.125 137.08333333333331 142.625,data/train/images/000001_female_Asian_45/mask3.jpg
000001,female,45,mask4,4,68.25 78.3125 144.08333333333331 143.0625,data/train/images/000001_female_Asian_45/mask4.jpg
000001,female,45,mask5,4,66.5 87.0625 144.66666666666669 150.0625,data/train/images/000001_female_Asian_45/mask5.jpg
000002,female,52,incorrect_mask,10,67.66666666666666 93.625 148.16666666666669 164.5,data/train/images/000002_female_Asian_52/incorrect_mask.jpg
000002,female,52,mask1,4,57.75 78.3125 149.33333333333331 156.1875,data/train/images/000002_female_Asian_52/mask1.jpg
000002,female,52,mask2,4,58.916666666666664 86.625 145.83333333333331 160.125,data/train/images/000002_female_Asian_52/mask2.jpg
000002,female,52,mask3,4,60.083333333333336 93.625 149.91666666666669 167.125,data/train/images/000002_female_Asian_52/mask3.jpg
000002,female,52,mask4,4,63.0 93.1875 149.33333333333331 162.75,data/train/images/000002_female_Asian_52/mask4.jpg
000002,female,52,mask5,4,61.25 87.5 142.91666666666669 153.5625,data/train/images/000002_female_Asian_52/mask5.jpg
000004,male,54,incorrect_mask,7,48.41666666666667 81.375 145.25 171.0625,data/train/images/000004_male_Asian_54/incorrect_mask.jpg
000004,male,54,mask1,1,64.16666666666666 83.125 160.41666666666669 168.4375,data/train/images/000004_male_Asian_54/mask1.jpg
000004,male,54,mask2,1,63.0 86.625 153.41666666666669 166.6875,data/train/images/000004_male_Asian_54/mask2.jpg
000004,male,54,mask3,1,52.5 82.6875 154.58333333333331 173.25,data/train/images/000004_male_Asian_54/mask3.jpg
000004,male,54,mask4,1,58.916666666666664 84.0 151.08333333333331 164.0625,data/train/images/000004_male_Asian_54/mask4.jpg
000004,male,54,mask5,1,56.0 82.6875 157.5 171.0625,data/train/images/000004_male_Asian_54/mask5.jpg
000005,female,58,incorrect_mask,10,58.333333333333336 85.75 159.25 166.25,data/train/images/000005_female_Asian_58/incorrect_mask.jpg
000005,female,58,mask1,4,53.08333333333333 86.1875 151.08333333333331 163.1875,data/train/images/000005_female_Asian_58/mask1.jpg
000005,female,58,mask2,4,61.833333333333336 87.9375 154.58333333333331 159.6875,data/train/images/000005_female_Asian_58/mask2.jpg
000005,female,58,mask3,4,52.5 86.1875 151.66666666666669 164.9375,data/train/images/000005_female_Asian_58/mask3.jpg
000005,female,58,mask4,4,59.5 88.375 161.0 162.75,data/train/images/000005_female_Asian_58/mask4.jpg
